artist_name,artwork_title,museum_name,on_display,thumbnail_url
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=9250d52f74d66831
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=58671f8958ab5754
Agnes Martin,Untitled Number 5,moma,0,https://www.moma.org/media/W1siZiIsIjQwMDg1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=ae084c7b44ffd860
Agnes Martin,Mountain I,moma,0,https://www.moma.org/media/W1siZiIsIjE1MTI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=f5f8f6cc26f2ace6
Agnes Martin,The Tree,moma,0,https://www.moma.org/media/W1siZiIsIjI0ODYzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=992ad56f35904efa
Agnes Martin,The Field,moma,0,https://www.moma.org/media/W1siZiIsIjQwNDQyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=7d4a0f779899d12b
Agnes Martin,Red Bird,moma,0,https://www.moma.org/media/W1siZiIsIjE3NTk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=061d8aa16ecded4d
Agnes Martin,Untitled from On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=07b270e27040eee7
Agnes Martin,Red Bird,moma,0,https://www.moma.org/media/W1siZiIsIjE1MTM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=c5ab3beb8ed843dd
Agnes Martin,On a Clear Day,moma,0,https://www.moma.org/media/W1siZiIsIjI2MzE1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=b4ef0a94e7f1b410
Agnes Martin,Wood,moma,0,https://www.moma.org/media/W1siZiIsIjg4OTk5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=da0e606b39b8a0f0
Agnes Martin,Stone,moma,0,https://www.moma.org/media/W1siZiIsIjE4NTU2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=2ac9e8aefec35b7e
Agnes Martin,Friendship,moma,0,https://www.moma.org/media/W1siZiIsIjMxODA5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=b21a32fac03872e2
Agnes Martin,Wood I,moma,0,https://www.moma.org/media/W1siZiIsIjIwMzM3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=5a7f7c8d388aa15d
Agnes Martin,Mountain,moma,0,https://www.moma.org/media/W1siZiIsIjg4OTk2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=72d24cda544b5a58
Agnes Martin,Untitled,moma,0,https://www.moma.org/media/W1siZiIsIjk3MTgyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=9404f53735d54efa
Agnes Martin,Tremolo,moma,0,https://www.moma.org/media/W1siZiIsIjE3MjA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=12578c3a6106796f
Agnes Martin,Harbor Number 1,moma,0,https://www.moma.org/media/W1siZiIsIjMxMTkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=361695b64ea89609
